1627930051149,369.75,810.24,nan
1627930051621,315.18,810.24,315.46
1627930052051,288.11,37.40,293.11
1627930052485,288.11,37.40,39.96
1627930052889,36.86,37.26,39.80
1627930053289,36.86,37.26,40.11
1627930053692,36.80,37.26,40.11
1627930054094,36.80,37.41,39.89
1627930054492,36.80,37.41,39.89
1627930054898,36.89,37.45,40.17
1627930055294,36.89,37.45,40.17
1627930055701,36.84,37.45,40.17
1627930056103,36.84,37.74,40.64
1627930056504,36.71,37.74,40.64
1627930056905,36.89,37.49,40.34
1627930057300,36.89,37.49,40.34
1627930057713,36.71,37.52,40.34
1627930058115,36.71,37.39,40.26
1627930058516,36.90,37.39,40.26
1627930058920,36.90,37.52,40.56
1627930059316,36.90,37.52,40.56
1627930059734,36.86,37.43,40.04
1627930060122,36.86,37.43,40.04
1627930060522,36.61,37.43,40.04
1627930060930,36.61,37.57,40.11
1627930061325,36.68,37.57,40.11
1627930061732,37.11,37.50,40.18
1627930062135,37.11,37.50,40.18
1627930062537,36.80,37.36,40.19
1627930062938,36.80,37.64,40.34
1627930063342,36.93,37.64,40.34
1627930063742,36.93,37.36,40.02
1627930064145,36.93,37.36,40.02
1627930064548,36.82,37.44,40.19
1627930064951,36.82,37.65,40.19
1627930065348,36.75,37.65,40.19
1627930065753,36.75,37.93,40.19
1627930066156,36.75,37.93,40.19
1627930066558,36.68,37.36,39.89
1627930066963,36.68,37.36,39.89
1627930067358,36.89,37.36,39.89
1627930067763,36.89,37.37,40.41
1627930068164,36.86,37.37,40.41
1627930068567,36.86,37.50,40.20
1627930068971,36.86,37.50,40.20
1627930069370,36.96,37.89,40.28
1627930069773,36.96,37.78,39.98
1627930070176,36.89,37.78,39.98
1627930070578,36.89,37.44,40.05
1627930070983,36.93,37.44,40.05
1627930071380,36.93,37.44,40.12
1627930071785,36.93,37.65,40.12
1627930072188,37.11,37.65,40.12
1627930072589,37.11,37.44,40.20
1627930072991,37.26,37.44,40.20
1627930073391,37.26,37.23,40.04
1627930073794,36.80,37.23,40.04
1627930074198,36.79,37.23,40.29
1627930074598,36.79,37.51,40.57
1627930074999,36.87,37.51,40.57
1627930075399,36.87,37.44,40.29
1627930075803,36.90,37.44,40.29
1627930076209,36.90,37.52,40.13
1627930076612,36.90,37.59,40.13
1627930077006,37.16,37.59,40.13
1627930077414,37.16,37.61,40.35
1627930077816,36.84,37.61,40.35
1627930078220,36.84,37.44,40.08
1627930078620,36.82,37.44,40.08
1627930079022,36.98,37.44,39.98
1627930079423,36.98,37.69,40.19
1627930079827,37.04,37.69,40.19
1627930080230,37.04,37.83,40.28
1627930080631,37.05,37.83,40.28
1627930081031,37.05,37.83,40.06
1627930081433,37.05,37.67,40.06
1627930081836,37.12,37.67,40.06
1627930082239,37.12,37.68,40.29
1627930082639,37.05,37.68,40.29
1627930083040,37.05,37.52,40.13
1627930083446,37.20,37.74,40.13
1627930083849,37.20,37.74,40.13
1627930084248,37.20,37.67,40.66
1627930084650,37.27,37.67,40.66
1627930085053,37.27,38.09,41.32
1627930085453,37.55,38.09,41.32
1627930085859,37.55,38.09,40.91
1627930086256,37.03,37.53,40.43
1627930086662,36.98,37.53,40.43
1627930087062,36.98,37.85,40.29
1627930087465,36.99,37.85,40.29
1627930087866,36.99,37.84,40.14
1627930088269,36.88,37.60,40.14
1627930088673,36.88,37.60,40.14
1627930089071,36.88,37.71,40.43
1627930089476,37.13,37.71,40.43
1627930089880,37.13,37.98,40.36
1627930090278,37.20,37.63,40.36
1627930090682,37.20,37.63,40.43
1627930091085,37.26,37.52,40.95
1627930091488,37.08,37.52,40.95
1627930091889,37.08,37.82,40.60
1627930092293,37.34,37.82,40.60
1627930092697,37.34,37.82,40.58
1627930093094,37.21,37.82,40.58
1627930093496,37.21,37.82,40.58
1627930093895,37.21,37.67,40.67
1627930094301,37.13,37.67,40.67
1627930094704,37.13,37.91,40.59
1627930095104,36.86,37.77,40.59
1627930095502,36.86,37.77,40.29
1627930095906,37.35,37.57,40.92
1627930096330,37.42,37.57,40.92
1627930096721,37.42,37.46,40.36
1627930097118,37.07,37.79,40.36
1627930097520,37.07,37.79,40.29
1627930097920,37.07,37.67,40.32
1627930098318,37.07,37.67,40.32
1627930098731,37.00,37.46,40.07
1627930099127,37.29,37.46,40.07
