1627928709100,287.51,810.40,nan
1627928709574,314.90,810.40,315.26
1627928710001,287.51,28.09,293.40
1627928710437,287.51,28.09,25.48
1627928710836,54.77,28.08,25.48
1627928711237,26.29,28.08,25.48
1627928711639,26.21,28.44,25.25
1627928712040,26.13,28.44,25.25
1627928712441,26.32,28.44,25.18
1627928712845,26.32,28.44,25.33
1627928713246,26.40,28.55,25.33
1627928713649,26.40,27.87,25.33
1627928714050,26.20,28.44,25.06
1627928714448,26.44,28.56,25.53
1627928714853,26.44,28.56,25.53
1627928715256,26.44,28.54,25.73
1627928715661,26.71,28.54,25.41
1627928716063,26.71,28.54,25.72
1627928716461,26.41,29.02,25.72
1627928716867,26.41,29.02,25.70
1627928717269,26.74,28.14,25.70
1627928717670,26.99,28.44,26.11
1627928718070,26.99,28.44,25.16
1627928718473,26.44,28.44,25.35
1627928718876,26.44,27.77,25.60
1627928719278,26.52,27.70,25.60
1627928719679,26.31,28.79,25.61
1627928720081,26.31,28.99,25.61
1627928720478,26.19,28.99,25.65
1627928720884,26.04,29.47,25.65
1627928721288,26.63,29.47,25.49
1627928721689,26.79,29.47,25.48
1627928722093,26.63,29.47,25.75
1627928722491,26.65,28.42,25.75
1627928722897,26.65,28.42,25.75
1627928723299,26.39,28.57,25.19
1627928723700,26.42,28.98,25.38
1627928724104,26.42,28.98,25.38
1627928724501,26.42,28.45,25.61
1627928724905,26.60,28.45,25.61
1627928725311,26.60,28.55,25.61
1627928725709,26.60,28.55,25.42
1627928726112,26.60,28.10,25.33
1627928726517,26.41,27.99,25.33
1627928726912,25.96,27.99,25.39
1627928727319,26.41,28.51,25.39
1627928727720,26.41,28.99,25.48
1627928728121,26.25,28.99,25.48
1627928728526,26.28,28.12,25.43
1627928728927,26.66,28.07,25.45
1627928729331,26.28,30.05,25.57
1627928729732,27.10,28.07,25.45
1627928730136,27.10,29.44,25.88
1627928730534,26.65,29.44,25.88
1627928730938,26.23,28.42,25.51
1627928731339,26.40,28.10,24.91
1627928731742,26.66,28.14,24.77
1627928732144,26.40,27.75,25.31
1627928732542,26.42,29.47,25.60
1627928732946,27.09,29.47,25.60
1627928733350,27.09,28.80,25.19
1627928733750,26.66,28.80,25.47
1627928734151,26.84,28.29,25.47
1627928734553,26.66,28.09,25.84
1627928734958,26.67,28.09,25.84
1627928735363,26.67,28.75,25.87
1627928735763,26.29,28.75,25.87
1627928736167,26.62,28.98,25.61
1627928736565,26.62,28.98,25.61
1627928736969,26.62,28.98,25.65
1627928737369,26.35,28.55,25.65
1627928737773,26.35,28.00,25.23
1627928738176,26.63,28.76,25.23
1627928738574,26.63,28.76,25.47
1627928738976,26.53,28.76,25.47
1627928739379,26.50,28.44,26.28
1627928739781,26.50,28.44,26.28
1627928740185,26.38,28.15,25.23
1627928740585,26.38,28.56,25.46
1627928740988,26.56,28.97,25.54
1627928741394,26.56,28.56,26.38
1627928741795,26.56,28.43,26.38
1627928742198,26.50,28.91,26.53
1627928742597,26.54,28.91,26.53
1627928743000,26.54,28.43,25.68
1627928743401,26.51,28.74,25.09
1627928743804,26.83,30.18,25.09
1627928744205,26.38,30.18,25.34
1627928744607,26.38,28.43,25.34
1627928745009,26.60,29.09,25.07
1627928745412,26.60,29.09,25.06
1627928745813,26.78,29.09,25.28
1627928746215,26.78,28.61,25.28
1627928746617,26.18,28.61,25.28
1627928747017,26.18,28.43,25.59
1627928747420,26.49,28.43,25.59
1627928747825,26.49,27.95,25.45
1627928748226,26.25,27.52,25.31
1627928748629,26.83,27.25,25.31
1627928749032,26.83,28.62,25.20
1627928749432,26.83,28.85,25.20
1627928749834,26.18,28.85,25.33
1627928750239,26.16,28.42,25.40
1627928750639,26.16,29.72,25.83
1627928751040,26.20,29.72,25.40
1627928751442,26.20,28.62,25.36
1627928751844,26.20,28.61,25.36
1627928752244,26.29,28.61,25.10
1627928752648,26.59,28.59,25.84
1627928753048,26.59,28.59,25.84
1627928753452,26.25,28.83,25.84
1627928753854,26.27,28.83,25.60
1627928754255,26.67,28.82,25.60
1627928754661,26.67,28.82,25.32
1627928755062,26.09,28.82,25.36
1627928755459,26.04,28.11,25.32
1627928755865,26.06,28.23,25.67
1627928756266,26.21,28.39,25.67
1627928756668,26.06,28.60,25.68
1627928757068,26.03,28.60,25.68
1627928757472,26.03,28.80,25.27
1627928757875,26.30,28.80,25.17
1627928758276,26.45,27.89,25.31
1627928758679,26.45,26.88,25.31
1627928759081,26.99,27.93,25.18
1627928759481,26.99,27.93,25.31
1627928759885,26.78,28.25,25.31
1627928760286,26.78,28.26,25.61
1627928760690,26.45,29.25,26.35
1627928761094,26.45,30.11,26.35
1627928761496,26.45,30.11,25.46
1627928761898,26.76,30.11,25.46
1627928762298,26.76,29.13,25.97
1627928762702,26.20,28.22,25.45
1627928763103,26.87,28.22,25.45
1627928763499,26.87,27.47,25.18
1627928763907,26.43,27.92,25.10
1627928764306,26.77,28.33,25.10
1627928764710,26.77,28.33,25.15
1627928765112,26.14,27.73,25.09
1627928765510,26.97,27.92,25.33
1627928765915,26.97,27.92,25.33
1627928766316,26.64,28.22,25.14
1627928766720,26.64,28.21,25.14
1627928767125,26.42,28.23,25.28
1627928767525,26.19,28.23,25.34
1627928767927,26.37,27.91,25.68
1627928768329,26.37,28.78,25.68
1627928768732,26.64,28.09,25.51
1627928769134,26.41,28.09,25.14
1627928769530,26.41,27.77,25.25
1627928769937,26.35,27.75,25.25
1627928770338,26.76,27.88,25.44
1627928770740,26.76,27.88,25.44
1627928771143,25.91,27.88,25.51
1627928771541,26.11,27.88,25.51
1627928771945,26.31,29.21,25.51
1627928772347,26.31,29.21,25.22
1627928772748,26.41,28.35,25.41
1627928773153,26.41,28.35,25.62
1627928773553,26.18,28.35,25.62
1627928773958,26.18,27.88,25.55
1627928774359,26.43,27.77,64.73
1627928774762,26.43,28.82,64.73
1627928775165,26.42,28.82,25.39
1627928775564,26.42,27.68,25.44
1627928775968,26.77,28.23,25.44
1627928776369,26.13,28.24,25.11
1627928776773,26.42,28.24,25.11
1627928777174,26.42,28.24,25.96
1627928777575,26.14,28.24,25.96
1627928777975,26.22,28.24,25.16
1627928778380,26.37,28.56,25.37
1627928778780,26.22,28.56,25.56
1627928779184,26.00,27.76,25.37
1627928779582,26.00,27.76,25.31
1627928779988,26.45,28.44,25.45
1627928780392,26.45,28.56,25.45
1627928780791,26.45,28.56,25.70
1627928781195,26.45,28.34,25.32
1627928781595,26.45,28.21,25.36
1627928781998,26.31,28.78,25.44
1627928782402,26.65,28.78,25.44
1627928782800,26.65,28.78,25.09
1627928783204,26.27,27.60,25.26
1627928783604,26.27,29.65,43.79
1627928783952,nan,29.65,43.79
1627928784351,26.49,27.90,25.44
1627928784753,26.49,27.79,25.92
1627928785158,26.49,27.79,25.92
1627928785548,25.97,27.53,25.13
1627928785959,26.42,29.33,25.13
1627928786362,26.42,29.33,25.29
1627928786762,26.43,27.78,25.53
1627928787166,26.43,27.91,25.53
1627928787565,26.44,27.91,25.43
1627928787968,26.44,27.74,25.43
1627928788378,25.82,27.89,25.43
1627928788775,25.98,28.88,24.91
1627928789178,26.14,29.66,25.01
1627928789576,26.14,28.88,25.31
1627928789979,26.14,29.57,25.31
1627928790392,25.96,29.57,25.99
1627928790780,26.21,28.77,25.25
1627928791187,26.51,28.22,25.11
1627928791585,26.51,28.22,24.78
1627928791989,26.11,29.46,24.99
1627928792393,26.44,29.46,26.02
1627928792793,26.44,28.34,25.29
1627928793197,26.76,28.23,25.29
1627928793597,26.76,28.21,25.20
1627928793998,26.59,28.21,25.00
1627928794399,26.20,28.35,25.44
1627928794802,26.20,28.67,25.44
1627928795209,26.20,28.67,25.44
1627928795609,26.13,28.22,25.08
1627928796010,26.24,28.33,25.08
1627928796414,26.38,29.09,25.38
1627928796818,26.38,29.09,25.47
1627928797215,26.38,27.88,25.52
1627928797617,26.28,27.89,25.47
1627928798019,26.28,28.13,25.20
1627928798423,25.99,28.13,25.42
1627928798823,26.78,28.71,25.42
1627928799229,26.78,28.78,25.32
1627928799643,25.72,28.78,25.32
1627928800034,25.85,29.22,25.32
1627928800438,26.28,29.22,25.44
1627928800839,26.28,29.22,25.44
1627928801240,26.21,28.24,25.51
1627928801644,26.21,27.89,25.51
1627928802046,26.01,27.89,25.00
1627928802450,27.10,27.55,25.02
1627928802850,27.10,29.23,25.25
1627928803252,26.66,28.38,25.25
1627928803655,26.66,28.44,25.19
1627928804057,26.67,29.55,25.42
1627928804461,26.67,29.55,25.17
1627928804862,26.67,28.43,25.17
1627928805265,26.21,28.21,25.07
1627928805673,26.21,28.21,25.07
1627928806073,26.00,28.23,25.07
1627928806474,26.46,28.43,25.11
1627928806876,26.46,28.43,25.02
1627928807281,26.46,28.44,25.42
1627928807683,26.98,27.91,25.42
1627928808085,26.98,28.66,25.67
1627928808485,25.85,28.66,25.67
1627928808890,26.18,28.65,25.44
1627928809292,26.18,28.65,25.44
1627928809694,27.09,27.84,25.41
1627928810097,27.09,27.76,25.22
1627928810495,26.12,28.55,25.10
1627928810901,26.37,28.55,25.74
1627928811304,26.45,29.45,25.74
1627928811708,26.64,29.45,25.74
1627928812111,26.45,28.78,25.27
1627928812510,26.44,28.07,25.55
1627928812916,26.44,28.07,25.55
1627928813318,25.97,28.78,25.45
1627928813721,25.86,28.78,25.45
1627928814121,26.31,28.22,25.45
1627928814520,26.02,28.22,25.14
1627928814927,26.02,29.52,25.18
1627928815330,25.95,29.52,25.18
1627928815731,26.06,28.78,25.08
1627928816128,26.06,28.78,25.16
1627928816530,26.63,28.77,25.08
1627928816936,26.63,28.22,24.94
1627928817340,26.63,29.83,24.99
1627928817742,26.43,29.83,25.07
1627928818145,26.07,28.21,25.22
1627928818544,26.19,28.21,25.11
1627928818951,26.19,28.21,25.40
1627928819355,26.74,28.21,25.40
1627928819757,26.18,28.21,25.70
1627928820160,26.18,27.78,25.70
1627928820556,26.24,29.09,25.23
1627928820964,26.24,29.09,25.18
1627928821365,25.98,27.86,25.18
1627928821769,26.62,29.94,25.47
1627928822170,26.31,30.11,25.47
1627928822567,26.31,30.11,25.14
1627928822974,26.28,27.86,25.41
1627928823378,26.15,28.33,25.17
1627928823778,26.30,28.75,25.66
1627928824182,26.30,28.75,25.66
1627928824579,26.30,27.88,25.24
1627928824988,26.32,28.07,24.93
1627928825391,26.66,28.64,24.93
1627928825794,26.66,28.64,26.68
1627928826196,26.18,29.43,26.68
1627928826598,26.29,29.43,25.67
1627928827001,26.43,28.64,25.67
1627928827403,26.43,27.75,25.95
1627928827804,26.17,29.07,25.95
1627928828208,26.10,29.07,25.95
1627928828609,27.08,29.07,25.25
1627928829012,27.08,28.41,25.25
1627928829413,27.08,28.41,25.94
1627928829816,26.28,28.09,25.94
1627928830225,25.81,29.96,25.94
1627928830621,25.97,28.09,25.40
1627928831023,26.16,27.94,25.40
1627928831428,26.32,28.32,25.61
1627928831830,26.16,28.87,25.61
1627928832233,25.82,28.87,25.66
1627928832635,25.97,28.65,25.21
1627928833037,25.97,28.65,25.07
1627928833439,26.29,29.19,25.30
1627928833841,26.29,29.19,25.30
1627928834243,25.85,28.64,25.40
1627928834646,26.09,28.64,25.72
1627928835047,26.09,28.41,25.40
1627928835450,26.08,28.41,25.10
1627928835851,26.08,28.54,25.10
1627928836254,25.97,28.54,25.69
1627928836657,26.85,29.09,25.69
1627928837059,26.27,29.09,26.17
1627928837461,26.27,29.51,25.00
1627928837866,26.04,29.51,25.29
1627928838267,26.09,28.33,25.29
1627928838670,26.09,28.33,25.13
1627928839070,26.62,28.18,25.13
1627928839476,26.61,28.86,25.10
1627928839878,26.61,28.91,25.37
1627928840279,26.59,28.91,25.37
1627928840682,26.59,28.32,25.06
1627928841083,26.48,27.36,24.94
1627928841486,26.71,27.49,25.23
1627928841889,26.48,27.49,25.04
1627928842291,26.05,27.49,25.30
1627928842695,25.95,27.77,25.30
1627928843096,26.30,28.20,25.15
1627928843498,26.30,28.20,25.15
1627928843899,26.29,28.65,25.17
1627928844305,26.28,29.20,24.97
1627928844707,26.92,28.65,24.84
1627928845108,26.92,28.04,24.83
1627928845510,26.01,28.05,25.13
1627928845914,26.01,29.38,25.13
1627928846314,25.97,29.38,25.09
1627928846715,26.23,29.38,25.09
1627928847118,26.23,29.07,25.17
1627928847518,25.92,28.20,25.17
1627928847925,25.92,28.05,25.08
1627928848327,25.82,29.22,25.08
1627928848730,25.61,29.22,25.29
1627928849133,26.16,29.22,24.84
1627928849530,26.16,29.07,24.81
